ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"100nF"	"C1"	"CAP-TH_L5.0-W2.5-P5.00-D1.0"	"1"	"CC1H104MC1FD3F6C10MF"	"Dersonic(德尔创)"	"LCSC"	"C254085"	"0.003"
"2"	"1uF"	"C2"	"CAP-TH_L7.6-W3.8-P5.08-D0.51"	"1"	"SR305C105KAR"	"Kyocera AVX"	"LCSC"	"C444741"	"0.1"
"3"	"100nF"	"C3"	"C0603"	"1"	"CC0603KRX7R9BB104"	"YAGEO(国巨)"	"LCSC"	"C14663"	""
"4"	"1uF"	"C4"	"C0603"	"1"	"CL10A105KB8NNNC"	"SAMSUNG(三星)"	"LCSC"	"C15849"	"0.001"
"5"	"C691436"	"H1,H2"	"HDR-TH_10P-P2.00-V-F"	"2"	"C691436"	"BOOMELE(Boom Precision Elec)"	"LCSC"	"C691436"	"0.017"
"6"	"PZ254V-11-04P_C2691448"	"H5,H6"	"HDR-TH_4P-P2.54-V-M"	"2"	"PZ254V-11-04P"	"XFCN(兴飞)"	"LCSC"	"C2691448"	"0.004"
"7"	"Header-Female-2.54_1x10"	"J1,J2"	"HDR-TH_10P-P2.54-V-F"	"2"	"2.54-1*10P母"	"BOOMELE(博穆精密)"	"LCSC"	"C35445"	"0.012"
"8"	"1TS005A-2500-5001"	"SW1"	"SW-TH_4P-L6.0-W6.0-P3.90-LS6.5"	"1"	"1TS005A-2500-5001"	"HYP(鸿源精密)"	"LCSC"	"C255811"	"0.005"
"9"	"2.54-2*20"	"U3,U6"	"HDR-TH_40P-P2.54-V-F-R2-C20-S2.54"	"2"	"2.54-2*20"	"ZHOURI(洲日)"	"LCSC"	"C2977589"	"0.04"
"10"	"PM254-2-02-Z-8.5"	"U4,U5,U7"	"HDR-TH_4P-P2.54-V-F-R2-C2-S2.54"	"3"	"PM254-2-02-Z-8.5"	"HCTL(华灿天禄)"	"LCSC"	"C2897403"	"0.013"
"11"	"U-D-M5DD-Y-2"	"USB1"	"MICRO-USB-TH_MICRO-USB-A6"	"1"	"U-D-M5DD-Y-2"	"韩国韩荣"	"LCSC"	"C145794"	"0.029"
